File Name: not saved
Channel 3: 'EKG', 22770 values, raw ADC, no filters.
Channel 4: 'FCR_EMG', 22770 values, raw ADC, no filters.
Channel 5: 'FCU_EMG', 22770 values, raw ADC, no filters.
Channel 7: 'ECU_EMG', 22770 values, raw ADC, no filters.
Channel 8: 'ECR_EMG', 22770 values, raw ADC, no filters.

158	7	17	10	11
158	4	16	-14	2
157	4	17	-32	-4
158	5	16	2	4
158	7	15	13	5
158	8	19	14	5
157	6	19	24	6
157	3	19	7	1
158	3	17	7	-3
158	4	17	25	1
158	5	18	32	3
158	7	17	6	-2
157	7	21	10	-13
158	3	21	7	-14
158	1	19	12	-6
158	3	22	49	2
158	3	18	43	13
157	5	16	6	8
157	5	19	-6	6
158	3	14	-5	9
157	4	13	-28	3
157	5	17	-19	4
158	10	18	-7	3
157	9	21	-2	-3
158	7	20	14	2
157	5	17	16	2
158	2	21	11	-1
158	1	22	-10	-3
158	0	22	-42	-1
157	0	21	-35	6
157	4	18	18	0
158	4	19	63	-3
157	3	21	77	-2
158	4	23	68	4
157	5	19	58	8
157	7	18	15	11
157	6	16	-4	7
157	8	19	4	6
157	4	21	19	2
157	1	15	20	-5
157	4	19	-24	-8
157	5	15	-29	-3
158	3	15	-27	2
157	3	15	-19	4
157	5	15	10	0
157	5	17	24	-7
158	4	17	12	-6
158	1	13	1	1
157	6	13	10	3
157	12	17	8	1
158	8	17	13	-3
157	3	21	28	2
159	2	22	34	10
157	0	18	31	15
157	2	17	-12	27
157	8	16	-34	20
157	8	17	10	4
158	1	18	-2	7
157	4	19	-18	0
158	2	21	-2	-2
157	5	24	-27	-6
158	5	20	-18	-7
158	3	15	6	-15
158	5	14	0	-28
157	9	21	-31	-14
158	9	20	7	0
157	7	17	36	0
157	9	19	17	4
158	9	18	17	7
157	5	17	8	-5
157	6	18	0	-7
157	5	19	-22	-5
157	4	17	-16	3
158	7	19	-15	4
157	7	19	-13	5
158	2	16	-9	5
158	3	19	-4	8
158	3	17	24	15
157	5	18	57	10
158	3	19	104	-6
157	1	12	94	-15
157	3	10	27	-4
157	4	17	5	-8
157	7	17	24	-6
158	4	13	19	11
157	4	12	4	15
158	4	15	19	10
157	1	19	21	-2
158	1	18	-28	-2
158	1	24	-35	4
158	0	24	-17	7
157	4	20	-19	2
157	6	23	-13	0
158	10	22	-19	0
159	11	19	-9	6
157	10	21	1	10
157	11	17	7	4
157	14	15	9	9
158	12	18	6	5
157	8	20	-1	2
157	2	21	-11	2
158	2	22	9	4
158	1	19	22	8
157	7	19	21	9
158	6	16	16	6
158	6	17	18	0
157	-2	20	10	4
157	-26	18	8	2
157	-33	17	8	0
157	-17	15	5	-1
157	-6	14	5	-1
158	7	15	0	-2
158	15	16	1	-7
158	22	15	2	-10
157	43	18	-1	3
157	55	24	-13	2
158	40	25	-14	-8
157	18	23	-3	-6
158	16	21	-5	-8
158	14	17	9	-3
157	7	13	35	-4
158	1	13	74	-4
158	-2	9	88	2
158	-1	12	46	6
158	-3	15	5	3
157	-1	22	-10	4
157	0	19	-6	4
158	-1	15	4	0
158	-1	19	-7	6
158	-1	22	-18	-2
157	1	21	-3	-11
157	-3	18	5	-5
158	-5	21	14	2
159	-1	21	60	7
157	-1	24	67	8
157	-1	21	-13	8
158	-1	17	-108	12
158	0	17	-49	11
158	0	16	13	-5
158	2	15	-15	-9
158	3	17	7	-11
158	3	19	0	-8
158	5	15	18	7
157	1	19	24	6
157	2	19	2	7
157	3	19	23	11
157	5	17	37	8
158	3	13	8	8
157	3	17	-1	12
157	1	15	14	13
157	3	15	-7	6
158	7	20	14	-8
157	5	22	23	-6
158	10	15	9	-4
157	4	19	-13	-2
157	6	20	1	6
158	6	16	40	4
158	4	19	21	2
158	7	19	30	-14
158	3	21	3	-16
158	9	21	-48	-4
157	9	24	-12	-9
158	5	23	20	3
157	7	19	15	10
157	7	19	32	15
157	12	21	27	13
158	16	19	-7	5
157	8	17	-18	-1
158	5	20	-1	-10
157	4	15	28	0
158	0	15	17	-2
157	1	16	4	3
157	8	19	21	0
157	7	19	15	1
157	5	23	5	8
158	7	21	-2	4
157	5	22	-11	10
158	7	22	5	8
158	8	19	9	7
157	6	19	20	2
158	4	14	26	-4
158	2	16	10	-8
158	5	19	-2	-7
157	9	17	-10	-6
158	7	20	-3	-2
158	5	17	5	4
157	3	17	1	7
157	4	19	1	17
157	7	17	10	21
158	5	17	14	17
158	4	17	22	17
158	3	15	34	5
158	3	16	27	-5
158	7	21	-17	-5
158	5	21	-27	-8
158	2	21	15	-5
157	4	21	19	-5
158	4	13	19	-14
157	1	9	-12	-23
157	4	16	-52	-23
157	3	23	-63	-11
158	7	22	-44	-3
157	5	17	-12	8
158	4	16	3	15
158	7	18	14	7
157	4	14	19	2
157	10	17	69	2
157	11	21	67	7
158	11	18	66	14
157	8	18	84	11
157	2	16	40	7
158	4	15	4	6
157	4	18	-28	3
158	8	21	-33	17
158	4	17	-15	22
