File Name: not saved
Channel 3: 'EKG', 22920 values, raw ADC, no filters.
Channel 4: 'FCR_EMG', 22920 values, raw ADC, no filters.
Channel 5: 'FCU_EMG', 22920 values, raw ADC, no filters.
Channel 7: 'ECU_EMG', 22920 values, raw ADC, no filters.
Channel 8: 'ECR_EMG', 22920 values, raw ADC, no filters.

158	-6	14	35	-13
158	0	22	72	0
158	-1	23	40	0
158	-2	24	19	-4
157	2	23	-13	-12
158	1	12	39	-5
157	0	11	89	4
158	-5	7	37	0
158	-6	11	-89	16
158	-4	23	-138	30
157	-2	25	-208	31
157	-1	18	-314	33
159	2	18	-214	29
158	4	15	-85	3
158	4	17	83	-14
157	4	19	232	-12
158	1	14	156	-9
157	10	20	137	-22
157	10	24	82	-35
157	11	27	53	-66
158	5	14	45	-86
158	1	17	-79	-26
157	4	14	-43	-2
157	1	14	15	7
158	2	19	55	18
157	1	14	35	25
158	5	23	-8	32
158	3	17	71	7
157	1	22	38	-30
157	4	18	44	-74
157	4	11	40	-97
158	10	25	-145	-75
157	8	30	-83	-13
158	5	19	40	5
158	8	17	-29	6
158	7	24	-86	25
158	7	19	48	35
159	9	17	271	48
158	11	22	162	45
157	8	24	9	57
158	8	27	-20	63
157	7	22	-7	72
157	3	19	23	87
158	3	21	46	81
158	0	17	94	58
157	-6	11	-4	0
157	-16	9	-73	-46
157	-8	16	-111	-81
159	2	22	-100	-107
157	-9	19	-96	-97
157	-17	14	-60	-49
159	-9	16	2	-10
158	-7	18	-68	14
157	13	18	-42	24
158	37	15	19	19
158	28	19	39	20
157	3	24	13	0
158	-49	19	53	-9
159	-55	17	162	8
157	-22	15	113	25
157	-18	18	43	21
158	-2	15	-14	16
158	23	15	-66	12
158	68	20	-43	13
158	141	18	-43	10
157	131	17	-26	7
158	3	13	-16	13
157	-37	10	-22	12
157	-22	9	7	20
158	-70	9	4	13
157	-17	17	16	11
158	10	25	22	15
157	32	37	24	15
158	135	34	29	10
157	151	26	1	3
157	90	26	-36	0
157	46	29	-47	-10
158	-8	32	0	-7
157	-127	28	7	0
158	-169	24	10	0
157	-101	21	39	0
158	4	19	53	-1
158	5	17	48	1
157	5	14	25	-1
157	78	6	13	-4
157	64	4	-10	-3
157	37	15	28	-6
157	12	21	53	-16
158	46	22	37	-11
158	15	20	-23	11
158	-32	19	-75	22
157	-18	10	-8	16
157	-59	13	-11	7
157	-51	12	-7	-7
158	-17	8	19	-15
157	22	11	-7	-6
157	81	14	-12	-7
157	75	24	22	-18
157	18	16	71	-27
157	0	17	25	-20
158	-30	21	43	-14
158	-77	18	33	-13
157	-101	16	10	-7
157	-47	15	63	-5
158	8	15	35	9
158	-19	12	46	13
158	-5	19	39	4
158	-10	22	-26	18
157	-8	18	-39	11
158	4	22	-23	8
158	7	23	-31	6
158	17	18	-30	0
158	8	11	-18	9
157	18	13	-22	7
158	12	18	-14	0
158	16	22	-14	1
157	15	19	-36	6
157	12	18	-33	12
157	16	19	-6	21
158	14	18	-12	12
158	16	22	-54	-9
157	13	23	-67	-18
157	12	17	-17	0
158	9	16	40	-3
158	8	10	114	-12
158	9	11	117	-5
158	10	19	47	-15
157	10	16	44	-15
158	13	19	-8	-5
157	12	21	-29	-4
158	3	14	85	-9
158	-5	13	29	-12
157	-5	21	-72	-5
157	3	26	7	11
158	4	27	-51	15
158	9	23	-31	18
158	12	19	1	25
157	21	22	-23	27
157	25	19	21	33
157	17	18	-13	25
158	15	23	1	18
158	11	21	-2	21
158	11	21	60	18
157	10	20	80	10
158	8	15	16	1
157	8	14	3	-5
158	9	17	-6	-12
158	8	18	-8	-17
158	4	17	-8	-15
157	3	14	13	-13
157	-1	8	13	-10
158	-13	6	-57	-8
158	-15	11	-157	-19
158	-5	11	-111	-40
157	1	16	14	-28
158	3	10	186	-9
158	12	10	342	-5
158	29	29	210	-2
157	41	28	47	-8
157	25	24	17	-6
157	4	19	-82	1
157	-13	21	-62	14
157	-33	20	21	22
158	-37	16	80	26
157	-29	18	77	6
157	0	13	-27	-11
157	36	18	-101	-4
159	41	21	-99	0
158	31	21	-46	13
157	34	24	-40	15
157	53	22	24	12
158	47	17	59	6
158	2	20	27	10
158	-62	28	-48	13
157	-64	28	0	12
157	-5	24	5	14
157	-13	22	-61	4
157	-28	14	-6	-5
158	5	15	-35	-8
157	46	21	2	1
157	65	19	0	9
157	45	14	25	7
159	25	13	31	4
157	9	15	-29	12
159	1	12	-21	17
158	13	20	-26	11
158	18	26	-14	10
158	16	27	-22	2
157	30	21	21	-2
158	23	16	33	6
158	37	17	48	0
157	-4	15	49	-2
157	-66	11	28	-7
157	-53	10	13	-6
158	-63	16	-31	-1
158	-53	17	1	8
157	-26	16	-8	19
157	37	11	9	11
157	-12	5	12	7
157	-61	11	54	-3
158	-13	21	102	-10
157	-15	22	61	-3
158	18	12	69	-2
158	1	17	9	-21
158	-5	23	-49	-27
158	15	27	-95	-18
158	56	34	-88	-11
158	77	27	15	-2
158	58	18	68	1
158	57	17	60	0
158	38	19	39	-1
157	28	25	49	1
157	1	27	-12	5
157	-6	23	-56	11
158	-13	22	-35	10
157	-19	20	-7	6
158	-20	17	80	6
157	-32	14	94	-4
157	-27	9	47	-3
158	-23	9	28	6
157	-6	12	-1	-9
158	8	13	-38	-6
157	24	15	24	3
157	38	11	82	-3
158	37	16	90	7
158	17	16	126	11
157	9	11	115	7
157	36	12	1	6
157	47	15	-122	-9
158	-34	7	-110	-12
158	-102	8	-144	-4
157	7	17	-185	4
157	126	21	-152	13
157	117	23	-16	11
157	22	19	172	7
157	37	27	53	1
157	74	31	-4	2
158	-86	18	17	-1
158	-164	10	-36	-7
157	-74	16	12	-6
157	-14	24	60	-4
157	-70	17	81	-7
157	-129	29	-45	6
157	-87	33	-45	13
158	-28	20	26	1
158	-19	17	23	-2
158	-8	25	-10	4
157	2	27	-39	6
158	35	21	20	10
158	67	18	-8	4
158	44	17	-1	0
158	40	19	-2	-1
158	35	22	4	-1
157	50	27	37	-1
157	114	24	47	-2
157	130	13	72	12
158	102	11	39	27
158	52	15	19	19
157	32	25	28	-1
158	39	23	13	-11
157	1	18	-6	-8
157	-16	17	23	-6
157	-2	14	22	-12
158	3	16	41	-10
157	7	14	58	-5
158	0	17	12	-3
158	0	19	-45	11
158	9	24	-55	15
157	7	22	8	3
157	-2	22	-11	4
157	-13	19	-29	0
158	-21	14	-14	-7
158	-17	15	-5	-12
157	-22	15	21	-12
158	-21	16	35	-9
157	-14	14	28	-6
158	-13	17	-19	3
158	-9	16	-28	2
158	-16	15	-5	4
158	-15	18	-6	4
158	-18	15	8	7
157	-14	11	42	9
157	-6	15	51	6
157	-7	19	24	7
157	-18	17	8	4
157	-19	17	11	7
157	-18	15	-14	11
157	-4	15	3	6
157	19	15	6	4
157	19	15	-29	-1
157	19	14	-16	-8
159	23	15	-4	-8
157	20	17	17	-8
157	14	19	21	1
157	8	23	42	10
157	8	19	54	9
158	15	15	-1	11
158	15	16	-36	-2
158	11	15	-15	-8
158	12	19	6	-1
158	5	18	-19	2
157	3	15	-11	8
158	6	21	0	2
158	5	15	8	2
157	8	13	-6	1
158	8	18	-41	3
158	8	17	-39	5
158	7	19	-46	11
157	6	18	9	9
157	-7	15	56	-4
157	-17	17	38	-18
158	-6	17	61	-20
159	0	18	74	-3
158	5	19	33	6
157	12	17	20	17
158	24	14	38	12
158	34	19	0	-8
157	31	26	-8	-21
157	30	24	9	-15
158	20	22	40	-7
158	8	19	58	3
157	5	18	-22	10
157	9	29	-82	17
158	22	33	-47	8
157	7	28	-12	2
157	-23	25	-32	10
158	-24	21	-14	6
157	-27	17	-8	10
157	-61	14	-4	2
158	-109	11	7	-2
158	-112	11	40	-2
158	-35	8	40	11
157	34	10	1	15
158	125	19	6	-1
157	168	22	-2	-2
158	140	21	17	-5
157	129	29	19	-1
157	61	29	-12	-1
158	29	26	-23	-1
158	24	22	19	-1
158	22	16	29	4
157	37	17	-15	3
158	28	18	-27	0
158	-24	20	-17	0
157	-59	11	0	-1
157	10	15	-14	4
157	-13	13	-2	2
158	-91	13	-2	6
157	-98	24	-1	4
157	-127	18	14	-2
158	-145	9	2	-2
158	-117	19	-7	-6
157	25	26	0	-9
158	89	23	25	-9
157	55	25	53	0
157	80	23	58	5
158	31	17	-24	10
157	-2	18	-46	-5
158	11	17	41	-18
157	32	19	52	-12
157	17	19	43	-7
158	5	22	57	-1
157	12	22	57	2
158	4	17	73	5
157	12	7	27	6
157	2	2	-66	6
158	6	7	-61	-6
157	3	11	-7	4
158	7	21	-2	4
157	14	19	13	4
158	8	18	33	6
158	7	20	39	7
158	1	17	36	18
158	-1	12	35	10
