File Name: not saved
Channel 3: 'EKG', 23540 values, raw ADC, no filters.
Channel 4: 'FCR_EMG', 23540 values, raw ADC, no filters.
Channel 5: 'FCU_EMG', 23540 values, raw ADC, no filters.
Channel 7: 'ECU_EMG', 23540 values, raw ADC, no filters.
Channel 8: 'ECR_EMG', 23540 values, raw ADC, no filters.

157	1	17	137	7
158	-43	1	28	14
158	-92	0	-159	17
158	-129	9	-152	-5
158	-78	17	-68	-13
157	16	24	-25	0
158	15	32	-11	-4
157	34	34	-1	0
157	40	32	15	-5
157	38	32	19	-10
158	45	35	60	-8
157	24	26	104	-4
158	24	20	63	-2
157	12	22	-40	4
158	8	14	-29	9
157	-9	6	14	2
157	-12	9	-3	0
158	-8	9	21	-7
157	-10	10	2	0
158	-1	15	-4	-5
158	0	15	10	-4
158	5	19	10	6
158	3	17	20	4
158	21	15	8	10
157	63	18	-9	1
158	68	16	-39	-3
158	31	15	-15	0
158	14	17	8	3
157	2	17	9	3
157	-6	21	13	7
157	4	20	12	12
157	-7	10	21	14
158	-43	8	15	8
157	-104	13	29	-9
157	-122	15	29	-15
157	-65	20	29	-11
158	5	16	47	4
157	36	14	29	10
158	82	18	17	10
157	117	17	23	0
158	120	19	16	-6
158	98	19	35	2
158	61	17	33	-3
158	30	18	1	-3
158	-11	17	-8	-6
157	-13	22	-17	-4
157	-16	24	-18	8
158	-35	19	-26	10
158	-32	13	-15	5
158	-12	15	-24	2
158	9	15	-24	-1
157	5	17	-6	3
157	15	22	0	3
158	30	18	12	9
158	29	21	-1	2
158	10	24	0	-9
158	-23	30	0	-8
158	-30	28	-11	-4
157	-17	23	4	2
158	-32	21	32	3
157	-49	18	37	10
157	-36	19	24	9
157	-13	15	1	11
157	6	16	-15	11
158	26	12	-12	7
158	46	7	-16	7
157	56	7	-15	2
158	47	16	-17	0
158	60	22	-10	0
157	38	16	34	-2
158	-36	19	61	-4
158	-97	20	64	-2
158	-117	21	78	-3
158	-23	25	73	0
157	3	16	48	-1
157	-12	12	-15	-4
159	5	24	-69	-8
158	-5	21	2	-5
158	18	18	8	0
158	16	24	-16	-4
158	16	19	13	-3
158	14	21	0	-2
158	4	24	10	-2
158	7	19	-5	-1
158	3	19	1	10
157	12	18	20	11
157	16	14	20	13
157	18	11	23	17
158	19	14	26	1
157	17	16	12	-7
157	15	19	-53	4
157	18	16	-33	8
157	17	16	13	-2
157	9	22	2	-5
157	15	18	26	-3
158	37	23	47	-6
158	50	19	56	-1
159	35	14	-14	-1
158	25	24	-105	-5
157	8	26	-46	0
157	-11	15	24	2
158	-15	14	5	1
158	-37	14	-19	7
158	-89	17	-19	10
158	-94	20	21	4
158	-20	12	48	4
157	22	13	36	-2
157	35	15	12	-3
157	49	18	-4	2
157	21	21	21	-4
158	34	18	13	1
157	50	18	18	4
157	36	20	23	4
158	27	22	13	4
158	18	17	10	3
