File Name: not saved
Channel 3: 'EKG', 28660 values, raw ADC, no filters.
Channel 4: 'FCR_EMG', 28660 values, raw ADC, no filters.
Channel 5: 'FCU_EMG', 28660 values, raw ADC, no filters.
Channel 7: 'ECU_EMG', 28660 values, raw ADC, no filters.
Channel 8: 'ECR_EMG', 28660 values, raw ADC, no filters.

158	19	17	-1	1
157	20	19	18	1
158	25	19	12	-3
157	87	24	24	-1
157	128	31	12	2
158	78	27	22	-1
158	35	22	24	4
158	16	23	11	3
158	-15	21	-19	1
158	-34	19	-32	1
157	-43	23	19	2
158	-30	19	24	0
157	-30	12	7	6
158	-45	17	13	4
157	-24	22	6	-8
157	2	20	15	-7
158	23	18	25	-4
158	36	15	23	2
158	32	19	8	3
158	29	22	-3	2
158	33	14	-4	7
158	41	-6	-10	4
157	28	-5	-16	1
157	4	10	-27	9
157	20	15	-23	-5
158	31	28	-10	-14
157	25	34	5	-6
158	39	30	30	3
158	53	29	63	-6
158	49	37	51	-14
157	-8	32	13	-13
157	-80	20	29	-13
158	-146	11	27	-1
157	-92	6	10	0
158	5	10	12	2
158	-17	14	10	2
158	-7	20	16	4
158	-34	20	8	10
157	-33	22	-2	12
158	-35	25	-8	16
158	-43	30	-10	13
157	9	28	-9	13
157	6	22	5	6
157	20	22	10	-2
157	33	21	-4	4
157	50	19	2	8
158	22	17	34	6
158	14	14	28	0
158	21	14	24	2
157	-11	15	26	5
158	5	15	27	3
158	30	18	26	-2
157	38	17	-1	-6
157	48	15	-31	5
158	59	19	-29	9
158	43	17	-11	11
157	-6	15	-37	10
158	-16	9	-37	-2
158	16	-3	-27	0
157	0	-18	-20	2
158	-22	-16	-3	-4
157	-6	-2	0	-3
157	-6	11	18	-6
158	-5	28	38	-2
158	-1	34	73	0
157	7	27	50	-6
157	-1	27	28	-9
158	-3	35	31	-13
157	16	30	1	-11
157	18	34	16	0
157	4	37	-25	12
157	7	35	-64	21
157	17	23	-3	10
158	16	18	61	8
157	31	28	57	4
158	38	24	-10	-3
158	49	15	-22	-4
158	58	7	2	-5
158	30	17	-9	6
158	-12	15	8	7
157	1	14	9	12
157	-34	13	20	6
158	-56	10	15	-3
158	-6	10	-5	-6
157	-48	13	6	-7
158	-128	17	10	-7
157	-119	16	8	1
157	17	17	-3	4
158	52	15	5	1
158	46	19	14	3
158	71	25	10	-1
157	46	25	3	1
158	67	25	7	-5
158	21	19	35	-6
158	5	21	42	4
157	2	25	44	4
158	-5	22	45	7
158	8	20	23	11
157	-7	20	25	10
157	1	17	32	3
158	-8	12	18	2
157	-1	-6	-38	5
157	4	-12	-82	0
157	-3	-7	-24	-1
158	-15	6	-12	3
158	-20	18	-19	1
158	-8	29	3	-1
158	-2	30	-27	3
158	10	30	-17	-6
158	22	43	-6	-5
157	30	52	-8	0
158	26	53	-1	-2
158	38	43	4	-1
157	37	30	21	-2
158	16	26	35	2
157	11	17	50	4
158	9	8	57	-1
158	4	2	36	4
157	-22	-4	-16	9
158	-48	1	-14	11
158	-30	5	21	13
158	8	13	-5	8
157	2	17	-16	6
158	-1	11	4	1
158	10	12	6	-11
157	5	15	5	-19
158	0	17	28	-15
157	-12	21	49	-5
158	-16	19	26	1
158	1	18	19	3
158	19	16	9	6
158	-2	9	-9	4
158	-2	13	4	-5
157	-1	17	-9	-2
159	-29	21	-25	2
157	0	26	-12	-4
158	40	28	-16	-2
158	64	24	15	5
158	84	18	77	8
157	111	19	48	11
157	145	17	1	10
157	89	17	12	7
157	45	16	0	10
158	-25	18	-2	7
158	-127	15	4	12
157	-155	11	-13	15
158	-96	14	-26	6
157	28	13	-57	1
158	-13	15	-33	-14
158	-29	16	8	-14
157	-12	16	10	-5
157	-39	22	29	-9
158	-1	27	29	2
158	3	19	48	0
158	10	9	78	-5
157	5	12	40	-6
157	14	15	-17	4
158	15	17	-39	7
158	17	11	-22	-4
158	3	10	-47	-1
157	-13	29	-22	-4
157	-5	45	41	0
158	3	37	16	3
157	7	18	8	12
157	5	20	33	10
157	18	30	15	7
157	11	39	-25	11
158	27	42	3	3
157	44	34	24	-8
157	53	29	29	-12
158	53	25	47	-7
157	29	24	63	-9
158	9	5	48	1
158	-12	-2	-18	7
158	11	3	-11	9
157	29	-4	-16	9
157	-1	-2	-40	3
158	-7	11	-2	0
158	-13	18	22	-1
157	-18	28	43	4
157	-23	34	52	4
158	-25	33	56	2
158	-1	32	68	-2
158	2	27	21	-7
158	7	27	-57	0
157	9	15	-51	-4
158	5	-3	-27	-12
158	1	9	-19	-7
157	-25	13	11	1
158	-18	11	-1	10
158	1	12	0	9
158	5	11	4	4
157	-1	11	0	7
158	-5	15	13	10
158	-1	24	17	4
157	11	25	25	4
157	84	24	16	0
158	100	17	10	-2
158	80	10	-21	-1
158	58	15	-28	-4
158	-38	15	5	-4
158	-110	13	-3	-2
157	-113	12	-23	2
157	24	11	-24	3
157	38	18	16	6
158	-2	24	35	11
158	-8	22	22	11
156	-24	18	23	11
158	0	15	-13	6
158	-34	18	-37	-2
157	-4	15	-5	-2
157	-32	18	16	-1
157	-19	23	8	-6
157	3	23	16	-11
157	18	17	6	-6
157	62	16	-15	-1
158	53	25	-9	3
157	88	22	28	3
158	57	21	17	1
158	38	25	-3	8
158	29	19	34	3
157	3	15	51	4
158	7	11	59	8
157	3	11	40	3
158	5	22	16	-1
157	-3	24	10	-2
157	8	28	-3	-6
158	3	26	10	-4
158	-24	15	4	1
158	-41	19	-7	4
158	-13	20	6	3
158	3	17	38	4
157	-1	17	48	2
157	8	15	6	3
157	-18	15	-15	6
157	-22	15	-17	2
158	-19	14	-8	3
158	-11	19	-8	-5
158	-1	21	-20	-3
158	5	16	-4	3
157	20	22	27	0
157	18	25	25	9
158	19	19	13	16
157	12	8	-39	13
158	22	7	-80	0
158	26	13	-22	-4
158	12	8	-22	6
158	14	13	-29	0
158	8	19	1	-5
158	1	24	27	-1
157	-46	30	70	-4
158	-103	24	55	-12
157	-75	17	14	-7
157	-2	10	-29	10
158	95	-3	7	1
158	130	-10	54	-4
158	74	-8	24	-6
157	50	9	29	-13
158	-3	23	37	-6
158	-108	24	53	0
158	-145	31	56	5
157	-29	29	24	7
157	40	35	10	8
158	33	48	-7	4
158	52	48	-7	1
158	18	47	5	7
157	36	35	5	11
158	41	20	6	7
158	24	14	19	-7
158	4	14	6	-6
158	-20	10	-37	-1
157	-5	13	-28	1
158	23	1	-5	11
158	17	-7	-11	13
158	-31	0	-7	19
158	-46	1	-2	14
159	-38	11	10	8
157	9	14	14	11
158	64	17	5	11
157	84	26	-26	12
158	78	41	-65	8
157	74	43	-37	-7
157	51	36	12	-32
157	20	29	9	-34
158	-18	25	9	-27
157	-43	21	34	-21
158	-5	15	35	-9
157	-6	14	41	1
158	-7	11	57	7
157	-12	11	28	4
157	-16	14	-12	7
158	-5	13	-13	8
158	-7	10	-22	8
158	-4	9	6	6
158	-17	10	56	6
158	-15	11	37	5
157	-13	12	8	-2
158	-11	16	20	3
157	-3	19	32	6
158	-3	22	22	7
158	5	22	-8	10
158	2	22	-13	8
157	2	21	20	8
157	-4	17	6	6
158	-43	17	-30	-1
158	-27	22	-28	-9
158	41	22	2	1
157	33	22	32	2
158	25	21	31	-2
158	5	18	6	0
158	-9	8	-24	-3
157	48	6	-12	4
157	52	8	14	4
157	25	6	2	3
158	-8	5	0	2
158	-14	11	15	0
157	-1	15	27	2
158	40	20	21	-1
158	81	29	24	-4
158	37	34	59	-2
158	35	33	77	6
158	11	21	3	9
157	-69	27	-100	16
157	-147	26	-31	5
159	-79	13	17	0
158	52	26	-15	2
157	5	22	25	-4
157	-2	17	19	-1
157	-11	19	31	-9
158	-8	16	8	-2
157	17	13	-34	4
159	10	12	-27	2
157	26	17	-9	2
157	22	21	8	6
157	32	23	5	4
157	12	16	13	0
157	-8	13	6	13
157	-4	9	15	4
157	30	16	4	-5
158	23	22	-3	4
157	10	17	4	8
158	16	16	11	-4
157	5	15	18	-4
157	35	24	13	-4
158	32	34	12	-6
157	46	29	15	0
158	21	9	16	0
158	-46	-12	-8	-1
158	-79	-28	-34	-7
157	-38	-20	-26	-13
157	-4	10	33	-6
158	-6	24	56	2
158	26	23	8	5
158	45	40	20	10
158	52	60	28	13
157	28	72	32	9
157	-2	67	57	4
157	-21	55	33	-5
158	-15	39	18	-7
158	-6	27	-20	1
158	-4	17	-64	-7
158	18	12	-41	-14
159	48	12	-20	-9
158	100	13	-8	-2
157	93	18	19	3
158	63	14	15	7
158	27	3	32	9
158	-39	-8	59	6
158	-52	-3	61	4
158	-56	7	34	-6
157	-33	14	-4	-3
158	19	18	-3	-3
157	14	9	10	3
158	15	7	-4	7
158	19	9	-32	-1
158	-35	11	-23	5
157	-122	10	-19	9
158	-175	11	-6	8
158	-40	17	38	10
157	41	15	37	8
158	-9	17	-8	6
157	30	29	-18	6
158	18	32	5	2
158	27	34	4	3
157	36	30	20	3
158	24	23	37	0
157	25	17	38	-1
157	8	14	-3	-1
158	27	14	-32	7
158	41	14	8	2
158	66	9	35	-5
157	67	7	52	0
158	47	7	70	-4
158	42	8	-21	7
158	-10	16	-106	10
157	-56	23	-63	-1
158	-22	19	1	-2
157	-22	19	15	-3
157	-26	18	12	2
158	-27	21	9	-1
158	-42	21	0	4
158	-20	21	-2	-3
158	-15	18	-1	0
157	-8	19	12	1
157	-4	23	21	0
158	23	22	32	8
158	-7	19	37	9
158	-28	21	13	18
157	-12	19	2	14
157	-7	18	-5	-2
159	10	24	-6	-9
157	24	17	9	-6
157	66	5	23	-15
157	93	-3	30	-20
157	113	-5	32	-14
158	100	5	20	-12
158	48	21	-15	-4
157	10	35	-23	0
158	-13	38	-9	2
157	-6	36	-4	4
158	-10	46	-17	6
158	-28	47	-12	14
158	-35	28	28	15
158	-14	10	52	10
158	-6	10	19	7
159	6	6	-30	-3
158	64	2	-8	-12
158	106	12	56	-3
158	75	15	72	3
157	34	24	46	2
158	-33	27	43	6
158	-113	22	28	8
158	-164	24	-4	2
159	-82	30	-24	-4
157	17	34	-36	7
157	-28	31	-39	7
157	36	22	-31	7
157	110	15	-23	0
158	111	15	-1	-2
158	75	17	52	0
157	30	13	54	1
158	-28	8	32	0
157	-94	3	45	2
157	-172	1	5	14
157	-126	11	-25	13
158	32	10	-11	0
158	-52	10	-9	-9
158	-73	11	-5	-5
157	-13	13	-7	-2
158	-6	15	4	-3
158	-24	17	16	-2
158	8	20	10	-2
157	73	21	8	7
158	48	22	-11	9
158	74	28	-25	3
157	29	28	-8	-6
157	-1	24	13	-13
158	-14	18	37	-12
158	-7	15	26	-9
158	47	15	-52	2
157	68	19	-78	13
158	102	14	4	9
157	115	3	30	11
158	100	-5	43	10
158	20	-5	56	-2
158	-17	9	21	-7
158	-28	28	5	-9
157	-40	38	13	-7
157	-11	27	29	-5
158	-15	26	15	0
157	23	35	13	0
157	58	40	7	2
157	27	43	6	-1
157	-4	24	19	-6
157	-25	0	12	5
158	-87	-3	18	2
158	-139	-7	5	5
158	-40	-8	-16	11
158	46	1	-16	9
158	37	18	1	3
157	33	30	7	4
158	-30	31	8	9
157	-29	38	14	5
157	-5	39	12	7
157	-4	30	7	3
158	18	17	-8	0
157	25	11	-8	-1
158	36	-6	5	4
157	38	5	18	2
158	57	28	1	1
158	42	21	-1	0
157	34	17	7	-2
158	35	-2	-2	1
158	-7	3	5	3
157	-29	45	7	7
157	3	86	0	3
157	11	67	-8	-12
158	7	30	10	-12
158	25	27	26	6
158	25	19	25	11
158	38	10	22	4
158	42	9	18	-1
157	14	12	20	6
158	-20	5	8	-5
158	-12	12	17	-7
157	1	10	25	-4
158	24	8	31	-5
157	88	11	35	7
158	74	5	30	10
157	-6	6	24	13
157	-4	8	0	8
158	-63	10	-32	6
158	-159	10	-41	2
158	-188	11	-13	0
157	-112	13	6	-1
157	4	14	13	-4
158	-40	19	15	3
158	-14	24	17	3
157	9	18	15	7
157	-5	13	0	-1
157	37	14	-28	-4
157	18	17	-33	6
158	36	18	3	2
157	86	19	7	2
157	145	24	1	3
157	115	19	1	5
158	52	21	4	9
157	-14	21	34	2
158	-125	19	54	2
157	-179	21	-3	4
158	-63	24	-100	17
157	43	22	-63	4
158	-16	18	13	-16
157	8	16	48	-15
157	4	17	58	-8
158	20	11	8	-3
157	47	8	48	-8
157	45	12	59	-1
158	69	-7	45	7
157	52	-8	25	4
157	49	12	6	2
158	25	17	15	-2
158	26	26	-20	-10
158	36	35	-20	-9
157	41	32	-19	6
158	29	33	-14	11
158	-2	47	-6	-2
158	-33	51	7	-2
157	-59	39	5	-1
158	-39	26	31	-6
157	-35	22	51	6
157	-36	15	8	10
157	-20	12	21	6
158	-19	10	17	4
157	-35	8	-15	0
158	10	6	-26	-2
157	117	8	-23	-4
158	116	22	1	-1
